#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
2155,Morgan Sanson,FRA,MF,Nice,fr Ligue 1,29,1994,24,20,"1,659",18.4,0,3,3,0,0,0,2,0,2.0,2.0,3.6,5.6,51,64,86,0.00,0.16,0.16,0.00,0.16,0.11,0.20,0.30,0.11,0.30
2156,Nicola Sansone,ITA,"FW,MF",Lecce,it Serie A,32,1991,22,4,675,7.5,2,2,4,2,0,0,3,0,2.7,2.7,1.0,3.8,14,29,62,0.27,0.27,0.53,0.27,0.53,0.36,0.14,0.50,0.36,0.50
2157,Baptiste Santamaria,FRA,MF,Rennes,fr Ligue 1,29,1995,27,19,"1,713",19.0,0,1,1,0,0,0,2,0,1.7,1.7,0.3,2.0,12,117,34,0.00,0.05,0.05,0.00,0.05,0.09,0.02,0.11,0.09,0.11
2158,Jesús Santiago,ESP,MF,Getafe,es La Liga,19,2004,8,5,384,4.3,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,3,12,8,0.23,0.00,0.23,0.23,0.23,0.13,0.08,0.21,0.13,0.21
2159,Andrey Santos,BRA,MF,Nott'ham Forest,eng Premier League,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64
2160,Tiago santos,POR,DF,Lille,fr Ligue 1,21,2002,24,21,"1,926",21.4,1,2,3,1,0,0,5,0,1.2,1.2,1.9,3.1,70,90,107,0.05,0.09,0.14,0.05,0.14,0.06,0.09,0.14,0.06,0.14
2161,Riccardo Saponara,ITA,"FW,MF",Hellas Verona,it Serie A,32,1991,12,3,342,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12,14,32,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
2162,Pablo Sarabia,ESP,"MF,FW",Wolves,eng Premier League,31,1992,25,19,"1,606",17.8,4,7,11,2,2,2,3,0,5.3,3.8,5.8,9.6,39,103,123,0.22,0.39,0.62,0.11,0.50,0.30,0.33,0.63,0.21,0.54
2163,Amin Sarr,SWE,"FW,MF",Lyon,fr Ligue 1,23,2001,3,1,98,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,1,8,0.00,0.00,0.00,0.00,0.00,0.31,0.14,0.45,0.31,0.45
2164,Bouna Sarr,SEN,DF,Bayern Munich,de Bundesliga,32,1992,2,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
2165,Ismaila Sarr,SEN,"FW,MF",Marseille,fr Ligue 1,26,1998,20,13,"1,269",14.1,3,4,7,3,0,0,1,0,2.5,2.5,2.4,4.9,44,29,137,0.21,0.28,0.50,0.21,0.50,0.18,0.17,0.35,0.18,0.35
2166,Mamadou Sarr,FRA,DF,Lyon,fr Ligue 1,18,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2167,Martin Satriano,URU,FW,Brest,fr Ligue 1,23,2001,28,16,"1,433",15.9,3,4,7,3,0,0,4,0,5.0,5.0,2.7,7.8,20,27,86,0.19,0.25,0.44,0.19,0.44,0.31,0.17,0.49,0.31,0.49
2168,Téji Savanier,FRA,MF,Montpellier,fr Ligue 1,32,1991,29,29,"2,522",28.0,8,5,13,1,7,7,6,0,8.9,3.4,6.5,9.9,35,211,94,0.29,0.18,0.46,0.04,0.21,0.32,0.23,0.55,0.12,0.35
2169,Stefan Savić,MNE,DF,Atlético Madrid,es La Liga,33,1991,19,16,"1,404",15.6,0,0,0,0,0,0,6,1,0.3,0.3,0.1,0.4,13,55,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
2170,Sávio,BRA,"MF,FW",Girona,es La Liga,20,2004,30,29,"2,435",27.1,8,7,15,8,0,0,5,0,4.4,4.4,6.2,10.6,144,69,295,0.30,0.26,0.55,0.30,0.55,0.16,0.23,0.39,0.16,0.39
2171,Saba Sazonov,GEO,DF,Torino,it Serie A,22,2002,12,2,356,4.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
2172,Joe Scally,USA,DF,M'Gladbach,de Bundesliga,21,2002,27,22,"1,944",21.6,1,2,3,1,0,0,4,0,0.5,0.5,0.9,1.3,33,71,60,0.05,0.09,0.14,0.05,0.14,0.02,0.04,0.06,0.02,0.06
2173,Giorgio Scalvini,ITA,DF,Atalanta,it Serie A,20,2003,27,26,"2,130",23.7,0,3,3,0,0,0,2,0,1.2,1.2,1.0,2.2,22,93,22,0.00,0.13,0.13,0.00,0.13,0.05,0.04,0.09,0.05,0.09
2174,Gianluca Scamacca,ITA,FW,Atalanta,it Serie A,25,1999,24,13,"1,149",12.8,9,4,13,9,0,0,1,0,4.9,4.9,1.7,6.6,18,28,126,0.70,0.31,1.02,0.70,1.02,0.39,0.13,0.52,0.39,0.52
2175,Dane Scarlett,ENG,FW,Tottenham,eng Premier League,20,2004,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2176,Kevin Schade,GER,"FW,MF",Brentford,eng Premier League,22,2001,6,3,258,2.9,1,1,2,1,0,0,0,0,0.7,0.7,0.7,1.4,3,9,18,0.35,0.35,0.70,0.35,0.70,0.25,0.25,0.50,0.25,0.50
2177,András Schäfer,HUN,"MF,DF",Union Berlin,de Bundesliga,25,1999,15,10,890,9.9,1,1,2,1,0,0,1,1,1.0,1.0,1.2,2.2,29,47,55,0.10,0.10,0.20,0.10,0.20,0.10,0.12,0.23,0.10,0.23
2178,Fabian Schär,SUI,DF,Newcastle Utd,eng Premier League,32,1991,32,32,"2,802",31.1,4,1,5,4,0,0,4,0,2.4,2.4,0.7,3.2,26,118,20,0.13,0.03,0.16,0.13,0.16,0.08,0.02,0.10,0.08,0.10
2179,Patrik Schick,CZE,FW,Leverkusen,de Bundesliga,28,1996,15,9,826,9.2,5,0,5,4,1,1,1,0,4.8,4.0,1.0,5.0,7,12,73,0.54,0.00,0.54,0.44,0.44,0.53,0.10,0.63,0.44,0.54
2180,Stefan Schimmer,GER,"MF,FW",Heidenheim,de Bundesliga,29,1994,14,0,140,1.6,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,1,1,12,0.00,0.64,0.64,0.00,0.64,0.33,0.56,0.89,0.33,0.89
2181,Xaver Schlager,AUT,MF,RB Leipzig,de Bundesliga,26,1997,26,26,"2,285",25.4,0,5,5,0,0,0,7,0,1.0,1.0,2.6,3.6,63,218,43,0.00,0.20,0.20,0.00,0.20,0.04,0.10,0.14,0.04,0.14
2182,Keven Schlotterbeck,GER,DF,Bochum,de Bundesliga,26,1997,22,19,"1,735",19.3,4,1,5,4,0,0,8,0,1.4,1.4,0.5,2.0,9,77,9,0.21,0.05,0.26,0.21,0.26,0.07,0.03,0.10,0.07,0.10
2183,Nico Schlotterbeck,GER,DF,Dortmund,de Bundesliga,24,1999,28,28,"2,471",27.5,2,1,3,2,0,0,1,0,3.0,3.0,1.5,4.4,48,160,9,0.07,0.04,0.11,0.07,0.11,0.11,0.05,0.16,0.11,0.16
2184,Jeffrey Schlupp,GHA,"FW,MF",Crystal Palace,eng Premier League,31,1992,24,17,"1,310",14.6,1,2,3,1,0,0,1,0,1.8,1.8,2.2,3.9,19,30,46,0.07,0.14,0.21,0.07,0.21,0.12,0.15,0.27,0.12,0.27
2185,Romano Schmid,AUT,MF,Werder Bremen,de Bundesliga,24,2000,28,25,"2,153",23.9,2,4,6,2,0,0,5,0,4.0,4.0,5.1,9.1,59,123,134,0.08,0.17,0.25,0.08,0.25,0.17,0.21,0.38,0.17,0.38
2186,Kenneth Schmidt,GER,DF,Freiburg,de Bundesliga,21,2002,5,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,4,3,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.12,0.02,0.12
2187,Niklas Schmidt,GER,MF,Toulouse,fr Ligue 1,26,1998,18,13,"1,085",12.1,1,0,1,1,0,0,4,0,1.0,1.0,1.5,2.5,19,92,34,0.08,0.00,0.08,0.08,0.08,0.08,0.12,0.21,0.08,0.21
2188,Benno Schmitz,GER,DF,Köln,de Bundesliga,29,1994,18,10,906,10.1,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,21,57,37,0.00,0.10,0.10,0.00,0.10,0.01,0.02,0.03,0.01,0.03
2189,Fabian Schnellhardt,GER,MF,Darmstadt 98,de Bundesliga,30,1994,8,2,223,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,14,9,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
2190,Jan Schöppner,GER,MF,Heidenheim,de Bundesliga,24,1999,21,19,"1,605",17.8,2,1,3,2,0,0,2,0,1.1,1.1,1.4,2.4,12,53,28,0.11,0.06,0.17,0.11,0.17,0.06,0.08,0.14,0.06,0.14
2191,Marcel Schuhen,GER,GK,Darmstadt 98,de Bundesliga,31,1993,28,28,"2,520",28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2192,Perr Schuurs,NED,DF,Torino,it Serie A,24,1999,9,9,770,8.6,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,9,19,4,0.12,0.00,0.12,0.12,0.12,0.08,0.00,0.08,0.08,0.08
2193,Marvin Schwäbe,GER,GK,Köln,de Bundesliga,28,1995,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2194,Alexander Schwolow,GER,GK,Union Berlin,de Bundesliga,31,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2195,Alex Scott,ENG,MF,Bournemouth,eng Premier League,20,2003,17,8,741,8.2,1,1,2,1,0,0,2,0,0.5,0.5,0.8,1.3,16,33,21,0.12,0.12,0.24,0.12,0.24,0.06,0.10,0.16,0.06,0.16
2196,Simone Scuffet,ITA,GK,Cagliari,it Serie A,27,1996,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2197,Jérémy Sebas,MTQ,"FW,MF",Strasbourg,fr Ligue 1,21,2003,9,0,176,2.0,2,0,2,2,0,0,0,0,1.0,1.0,0.0,1.0,9,5,17,1.02,0.00,1.02,1.02,1.02,0.48,0.02,0.51,0.48,0.51
2198,Manuel Sebastián,ESP,MF,Sevilla,es La Liga,19,2004,2,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
2199,Demba Seck,SEN,MF,Torino,it Serie A,23,2001,9,5,425,4.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,23,12,25,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
2200,Aleksandar Sedlar,SRB,DF,Alavés,es La Liga,32,1991,11,11,946,10.5,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.3,6,26,1,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.03,0.03,0.03
2201,Alidu Seidu,GHA,DF,Rennes,fr Ligue 1,23,2000,8,4,346,3.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,12,12,12,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
2202,Nicolas Seiwald,AUT,MF,RB Leipzig,de Bundesliga,22,2001,16,4,475,5.3,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,18,4,0.00,0.19,0.19,0.00,0.19,0.00,0.03,0.03,0.00,0.03
2203,Nikola Sekulov,ITA,FW,Juventus,it Serie A,22,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
