#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24,2000,16,12,"1,107",12.3,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,19,41,24,0.00,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23,2000,25,10,927,10.3,2,0,2,2,0,0,3,1,1.7,1.7,1.2,2.8,26,31,56,0.19,0.00,0.19,0.19,0.19,0.16,0.11,0.28,0.16,0.28
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19
4,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36,1987,26,26,"2,331",25.9,3,0,3,3,0,0,4,0,2.6,2.6,0.3,2.8,34,120,7,0.12,0.00,0.12,0.12,0.12,0.10,0.01,0.11,0.10,0.11
5,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24,2000,25,17,"1,507",16.7,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,8,77,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
6,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31,1993,28,28,"2,477",27.5,1,1,2,1,0,0,3,0,0.9,0.9,2.0,2.9,33,160,47,0.04,0.04,0.07,0.04,0.07,0.03,0.07,0.11,0.03,0.11
7,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21,2003,18,8,736,8.2,3,0,3,3,0,0,1,0,2.0,2.0,1.6,3.7,18,15,67,0.37,0.00,0.37,0.37,0.37,0.25,0.20,0.45,0.25,0.45
8,Abner,BRA,DF,Betis,es La Liga,23,2000,19,14,"1,256",14.0,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,13,30,57,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
9,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,9,5,482,5.4,3,0,3,2,1,1,1,0,2.3,1.5,0.2,1.7,15,13,49,0.56,0.00,0.56,0.37,0.37,0.43,0.04,0.47,0.28,0.32
10,Abdel Abqar,MAR,DF,Alavés,es La Liga,25,1999,21,21,"1,817",20.2,0,0,0,0,0,0,9,0,0.3,0.3,0.0,0.4,5,42,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
11,Tammy Abraham,ENG,FW,Roma,it Serie A,26,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Francesco Acerbi,ITA,DF,Inter,it Serie A,36,1988,26,23,"2,118",23.5,2,1,3,2,0,0,1,0,1.1,1.1,1.7,2.8,19,77,22,0.08,0.04,0.13,0.08,0.13,0.05,0.07,0.12,0.05,0.12
13,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32,1991,15,13,908,10.1,0,1,1,0,0,0,5,0,0.2,0.2,0.7,0.9,18,45,27,0.00,0.10,0.10,0.00,0.10,0.02,0.07,0.09,0.02,0.09
14,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19
15,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24,2000,27,23,"1,925",21.4,7,1,8,7,0,0,2,0,11.2,11.2,1.8,13.0,35,15,114,0.33,0.05,0.37,0.33,0.37,0.52,0.08,0.61,0.52,0.61
16,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
17,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,13,0,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17
18,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30,1993,16,6,651,7.2,1,2,3,1,0,0,2,0,3.4,3.4,1.6,5.0,15,15,33,0.14,0.28,0.41,0.14,0.41,0.47,0.23,0.69,0.47,0.69
19,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26,1997,19,17,"1,527",17.0,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,10,60,5,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.05,0.04,0.05
20,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26,1998,23,13,"1,162",12.9,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,85,0.70,0.00,0.70,0.70,0.70,0.43,0.05,0.49,0.43,0.49
21,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22,2002,18,8,780,8.7,3,1,4,3,0,0,6,1,2.8,2.8,1.5,4.4,42,21,84,0.35,0.12,0.46,0.35,0.46,0.33,0.18,0.50,0.33,0.50
22,Simon Adingra,CIV,FW,Brighton,eng Premier League,22,2002,25,20,"1,767",19.6,6,1,7,6,0,0,2,0,3.5,3.5,2.5,6.0,86,41,233,0.31,0.05,0.36,0.31,0.36,0.18,0.13,0.30,0.18,0.30
23,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21,2002,10,9,822,9.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,8,24,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
24,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,20,6,724,8.0,2,5,7,2,0,0,5,0,2.2,2.2,1.6,3.8,27,29,116,0.25,0.62,0.87,0.25,0.87,0.28,0.20,0.47,0.28,0.47
25,Yacine Adli,FRA,MF,Milan,it Serie A,23,2000,20,15,"1,236",13.7,1,2,3,1,0,0,3,0,0.3,0.3,1.9,2.2,25,107,24,0.07,0.15,0.22,0.07,0.22,0.02,0.14,0.16,0.02,0.16
26,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
28,Michel Aebischer,SUI,MF,Bologna,it Serie A,27,1997,31,21,"1,789",19.9,0,1,1,0,0,0,6,0,0.9,0.9,1.4,2.2,18,105,49,0.00,0.05,0.05,0.00,0.05,0.04,0.07,0.11,0.04,0.11
29,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26,1997,27,24,"2,146",23.8,0,1,1,0,0,0,1,0,2.2,2.2,1.5,3.7,39,159,19,0.00,0.04,0.04,0.00,0.04,0.09,0.06,0.15,0.09,0.15
30,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Lucien Agoume,FRA,MF,Inter,it Serie A,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Felix Agu,GER,"DF,MF",Werder Bremen,de Bundesliga,24,1999,19,14,"1,193",13.3,0,0,0,0,0,0,1,0,0.6,0.6,0.3,1.0,23,22,63,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
33,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,28,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
34,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,30,1993,21,21,"1,815",20.2,1,3,4,1,0,0,3,0,1.4,1.4,2.8,4.2,36,105,154,0.05,0.15,0.20,0.05,0.20,0.07,0.14,0.21,0.07,0.21
35,Brandon Aguilera,CRC,FW,Nott'ham Forest,eng Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,22,2002,17,0,244,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,17,13,18,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
37,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,25,1999,26,24,"2,200",24.4,1,0,1,1,0,0,9,0,2.6,2.6,0.5,3.1,10,35,18,0.04,0.00,0.04,0.04,0.04,0.10,0.02,0.12,0.10,0.12
38,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
39,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27,1996,18,16,"1,332",14.8,1,1,2,1,0,0,3,0,0.2,0.2,0.8,0.9,38,48,29,0.07,0.07,0.14,0.07,0.14,0.01,0.05,0.06,0.01,0.06
40,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,eng Premier League,22,2001,27,24,"1,912",21.2,2,1,3,2,0,0,6,0,3.1,3.1,1.9,5.0,59,90,84,0.09,0.05,0.14,0.09,0.14,0.14,0.09,0.23,0.14,0.23
41,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,15,8,766,8.5,2,0,2,2,0,0,0,1,1.7,1.7,0.2,1.9,16,15,42,0.23,0.00,0.23,0.23,0.23,0.20,0.03,0.23,0.20,0.23
42,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,26,1998,24,17,"1,568",17.4,2,1,3,2,0,0,5,0,1.1,1.1,2.3,3.4,19,50,30,0.11,0.06,0.17,0.11,0.17,0.07,0.13,0.20,0.07,0.20
43,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,30,1994,23,14,"1,268",14.1,2,0,2,2,0,2,4,0,5.0,3.4,0.9,4.4,3,20,77,0.14,0.00,0.14,0.14,0.14,0.36,0.06,0.42,0.24,0.31
44,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28,1995,24,22,"1,991",22.1,2,0,2,2,0,0,4,1,0.9,0.9,0.3,1.3,41,124,34,0.09,0.00,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06
45,Marley Aké,FRA,FW,Udinese,it Serie A,23,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Nathan Aké,NED,DF,Manchester City,eng Premier League,29,1995,24,20,"1,753",19.5,2,2,4,2,0,0,0,0,2.1,2.1,1.2,3.3,23,103,17,0.10,0.10,0.21,0.10,0.21,0.11,0.06,0.17,0.11,0.17
47,Ilias Akhomach,MAR,"MF,FW",Villarreal,es La Liga,20,2004,24,12,"1,161",12.9,1,2,3,1,0,0,3,0,2.1,2.1,2.0,4.0,50,31,116,0.08,0.16,0.23,0.08,0.23,0.16,0.15,0.31,0.16,0.31
48,Sergio Akieme,ESP,DF,Almería,es La Liga,26,1997,19,19,"1,675",18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0.00,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
49,Ebenezer Akinsanmiro,NGA,MF,Inter,it Serie A,19,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23
50,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,22,2002,23,13,"1,186",13.2,7,3,10,7,0,0,2,0,4.7,4.7,1.9,6.6,28,71,104,0.53,0.23,0.76,0.53,0.76,0.35,0.15,0.50,0.35,0.50
51,Paul Akouokou,CIV,MF,Betis,es La Liga,26,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it Serie A,31,1992,16,7,590,6.6,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.5,6,7,10,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
53,David Akpan Ankeye,NGA,FW,Genoa,it Serie A,22,2002,3,0,30,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
54,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,29,1995,14,8,827,9.2,0,0,0,0,0,0,7,0,0.0,0.0,0.1,0.1,7,44,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
55,David Alaba,AUT,DF,Real Madrid,es La Liga,31,1992,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.00,0.08,0.08,0.00,0.08,0.08,0.05,0.13,0.08,0.13
56,Luis Alberto,ESP,MF,Lazio,it Serie A,31,1992,29,26,"2,068",23.0,4,6,10,4,0,0,6,0,3.8,3.8,4.5,8.3,70,189,109,0.17,0.26,0.44,0.17,0.44,0.17,0.19,0.36,0.17,0.36
57,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38,1985,23,22,"1,806",20.1,0,1,1,0,0,0,5,0,0.4,0.4,0.8,1.3,8,57,0,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06
58,Thiago Alcántara,ESP,MF,Liverpool,eng Premier League,33,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Carlos Alcaraz,ARG,MF,Juventus,it Serie A,21,2002,6,1,194,2.2,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,6,18,5,0.00,0.46,0.46,0.00,0.46,0.12,0.05,0.17,0.12,0.17
60,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32,1991,29,29,"2,504",27.8,2,1,3,1,1,1,14,0,2.2,1.5,1.2,2.7,19,117,31,0.07,0.04,0.11,0.04,0.07,0.08,0.04,0.12,0.05,0.10
61,Omar Alderete,PAR,DF,Getafe,es La Liga,27,1996,24,18,"1,610",17.9,0,1,1,0,0,0,6,1,0.6,0.6,1.0,1.6,15,71,6,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.09,0.03,0.09
62,Iván Alejo,ESP,MF,Cádiz,es La Liga,29,1995,26,20,"1,578",17.5,0,2,2,0,0,0,16,0,0.5,0.5,1.1,1.6,41,28,94,0.00,0.11,0.11,0.00,0.11,0.03,0.06,0.09,0.03,0.09
63,Carles Aleñá,ESP,"MF,FW",Getafe,es La Liga,26,1998,24,9,894,9.9,1,1,2,1,0,0,5,0,1.2,1.2,1.5,2.7,11,16,38,0.10,0.10,0.20,0.10,0.20,0.12,0.15,0.27,0.12,0.27
64,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25,1998,22,19,"1,665",18.5,2,4,6,2,0,0,5,0,1.8,1.6,5.5,7.1,31,156,69,0.11,0.22,0.32,0.11,0.32,0.10,0.30,0.40,0.08,0.38
65,Aboubacar Ali,FRA,MF,Strasbourg,fr Ligue 1,18,2006,4,0,29,0.3,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,2,2,4,0.00,3.10,3.10,0.00,3.10,0.47,0.24,0.72,0.47,0.72
66,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,20,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18
67,Yanis Ali Issoufou,FRA,FW,Montpellier,fr Ligue 1,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
68,Faride Alidou,GER,"FW,MF",Köln,de Bundesliga,22,2001,21,9,953,10.6,4,0,4,4,0,0,3,0,1.9,1.9,0.6,2.4,42,29,73,0.38,0.00,0.38,0.38,0.38,0.18,0.05,0.23,0.18,0.23
69,Nabil Alioui,FRA,"MF,FW",Le Havre,fr Ligue 1,25,1999,18,12,"1,009",11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41
70,Alisson,BRA,GK,Liverpool,eng Premier League,31,1992,22,22,"1,980",22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Tadeo Allende,ARG,"MF,FW",Celta Vigo,es La Liga,25,1999,7,2,269,3.0,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.5,9,7,19,0.33,0.00,0.33,0.33,0.33,0.42,0.08,0.49,0.42,0.49
72,Jim Allevinah,GAB,"MF,DF",Clermont Foot,fr Ligue 1,29,1995,27,21,"1,769",19.7,2,1,3,2,0,0,0,0,2.1,2.1,1.2,3.3,84,51,112,0.10,0.05,0.15,0.10,0.15,0.11,0.06,0.17,0.11,0.17
73,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,es La Liga,23,2000,11,7,596,6.6,2,1,3,2,0,0,0,0,0.3,0.3,0.8,1.1,17,25,19,0.30,0.15,0.45,0.30,0.45,0.04,0.12,0.16,0.04,0.16
74,Miguel Almirón,PAR,FW,Newcastle Utd,eng Premier League,30,1994,29,23,"1,848",20.5,3,1,4,3,0,0,1,0,4.5,4.5,2.6,7.1,77,75,157,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34
75,Pontus Almqvist,SWE,"FW,MF",Lecce,it Serie A,24,1999,26,23,"1,939",21.5,2,0,2,2,0,0,5,0,2.3,2.3,1.7,4.0,69,29,125,0.09,0.00,0.09,0.09,0.09,0.11,0.08,0.18,0.11,0.18
76,Marcos Alonso,ESP,DF,Barcelona,es La Liga,33,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21
77,Adrià Altimira,ESP,"DF,MF",Villarreal,es La Liga,23,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
78,Sergi Altimira,ESP,MF,Betis,es La Liga,22,2001,12,6,504,5.6,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,9,28,7,0.18,0.00,0.18,0.18,0.18,0.03,0.05,0.08,0.03,0.08
79,Edson Álvarez,MEX,MF,West Ham,eng Premier League,26,1997,27,25,"2,148",23.9,1,1,2,1,0,0,10,0,1.3,1.3,0.5,1.8,19,79,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07
80,Gastón Álvarez,URU,DF,Getafe,es La Liga,24,2000,28,25,"2,163",24.0,1,0,1,1,0,0,6,0,0.7,0.7,0.5,1.2,11,53,32,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
81,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,6,3,278,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.5,0.9,16,21,44,0.00,0.00,0.00,0.00,0.00,0.11,0.17,0.29,0.11,0.29
82,Julián Álvarez,ARG,"MF,FW",Manchester City,eng Premier League,24,2000,31,29,"2,450",27.2,8,8,16,7,1,1,2,0,11.3,10.6,6.4,16.9,56,97,167,0.29,0.29,0.59,0.26,0.55,0.42,0.23,0.65,0.39,0.62
83,Yeray Álvarez,ESP,DF,Athletic Club,es La Liga,29,1995,13,9,761,8.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,8,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
84,Skelly Alvero,FRA,MF,Lyon,fr Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13,0.21,0.00,0.21,0.21,0.21,0.09,0.00,0.09,0.09,0.09
85,Papa Amadou Diallo,SEN,FW,Metz,fr Ligue 1,19,2004,11,4,475,5.3,1,0,1,1,0,0,1,0,1.3,1.3,0.3,1.6,14,20,37,0.19,0.00,0.19,0.19,0.19,0.25,0.05,0.30,0.25,0.30
86,Selim Amallah,MAR,"FW,MF",Valencia,es La Liga,27,1996,18,7,595,6.6,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,35,0.00,0.15,0.15,0.00,0.15,0.06,0.05,0.12,0.06,0.12
87,Amath,SEN,"FW,MF",Mallorca,es La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0.00,0.00,0.00,0.00,0.00,0.35,0.09,0.44,0.35,0.44
88,Lorenzo Amatucci,ITA,MF,Fiorentina,it Serie A,20,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
89,Zeki Amdouni,SUI,FW,Burnley,eng Premier League,23,2000,29,26,"1,830",20.3,4,1,5,4,0,0,2,0,4.4,4.4,1.4,5.8,58,46,83,0.20,0.05,0.25,0.20,0.25,0.22,0.07,0.28,0.22,0.28
90,Kelvin Amian,FRA,DF,Nantes,fr Ligue 1,26,1998,7,7,506,5.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,12,20,10,0.00,0.18,0.18,0.00,0.18,0.01,0.04,0.05,0.01,0.05
91,Bruno Amione,ARG,DF,Hellas Verona,it Serie A,22,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
92,Michael Amir Murillo,PAN,DF,Marseille,fr Ligue 1,28,1996,10,6,643,7.1,2,1,3,2,0,0,1,0,0.8,0.8,0.5,1.3,4,27,38,0.28,0.14,0.42,0.28,0.42,0.11,0.07,0.18,0.11,0.18
93,Nadiem Amiri,GER,MF,Mainz 05,de Bundesliga,27,1996,11,11,956,10.6,1,3,4,1,0,1,4,0,1.7,0.9,3.0,3.9,13,68,14,0.09,0.28,0.38,0.09,0.38,0.16,0.29,0.44,0.08,0.37
94,Kofi Amoako,GER,MF,Wolfsburg,de Bundesliga,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,eng Premier League,27,1996,15,7,652,7.2,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,5,52,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03
96,Joachim Andersen,DEN,DF,Crystal Palace,eng Premier League,27,1996,32,32,"2,879",32.0,2,2,4,2,0,0,5,0,1.3,1.3,2.3,3.6,21,130,8,0.06,0.06,0.13,0.06,0.13,0.04,0.07,0.11,0.04,0.11
97,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,eng Premier League,21,2002,15,6,677,7.5,0,1,1,0,0,0,0,0,1.2,1.2,1.0,2.2,27,41,49,0.00,0.13,0.13,0.00,0.13,0.16,0.13,0.29,0.16,0.29
98,Felipe Anderson,BRA,FW,Lazio,it Serie A,31,1993,32,29,"2,415",26.8,5,6,11,5,0,0,3,0,3.8,3.8,6.0,9.9,95,110,191,0.19,0.22,0.41,0.19,0.41,0.14,0.22,0.37,0.14,0.37
99,Benjamin André,FRA,MF,Lille,fr Ligue 1,33,1990,26,25,"2,244",24.9,3,0,3,3,0,0,7,0,2.4,2.4,1.0,3.4,19,158,28,0.12,0.00,0.12,0.12,0.12,0.09,0.04,0.14,0.09,0.14
100,Komnen Andrić,SRB,FW,Clermont Foot,fr Ligue 1,28,1995,6,1,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,23,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
101,Robert Andrich,GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,23,13,"1,248",13.9,2,2,4,2,0,0,3,0,0.8,0.8,1.4,2.3,18,74,10,0.14,0.14,0.29,0.14,0.29,0.06,0.10,0.16,0.06,0.16
102,Miguel Ángel Rubio,ESP,DF,Granada,es La Liga,26,1998,13,11,"1,021",11.3,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,3,17,0,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.06,0.06,0.06
103,Angeliño,ESP,DF,Roma,it Serie A,27,1997,9,8,620,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,5,23,21,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10
104,Fabrizio Angileri,ARG,"DF,MF",Getafe,es La Liga,30,1994,9,1,102,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.2,0.2,1,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19
105,Jaidon Anthony,ENG,FW,Bournemouth,eng Premier League,24,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
106,Waldemar Anton,GER,DF,Stuttgart,de Bundesliga,27,1996,28,27,"2,436",27.1,0,3,3,0,0,0,5,0,1.4,1.4,0.9,2.3,34,143,12,0.00,0.11,0.11,0.00,0.11,0.05,0.03,0.08,0.05,0.08
107,Michail Antonio,JAM,FW,West Ham,eng Premier League,34,1990,21,16,"1,308",14.5,4,2,6,4,0,0,5,0,4.0,4.0,0.9,4.9,40,19,88,0.28,0.14,0.41,0.28,0.41,0.27,0.06,0.33,0.27,0.33
108,Antony,BRA,FW,Manchester Utd,eng Premier League,24,2000,25,12,"1,100",12.2,0,1,1,0,0,0,4,0,1.7,1.7,2.4,4.1,44,55,124,0.00,0.08,0.08,0.00,0.08,0.14,0.20,0.34,0.14,0.34
109,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,de Bundesliga,30,1994,22,11,"1,133",12.6,1,2,3,1,0,0,4,0,1.9,1.9,3.4,5.3,49,27,130,0.08,0.16,0.24,0.08,0.24,0.15,0.27,0.42,0.15,0.42
